STATS;COUNT;PERCENT
ONE_PAIR;39220;39.22%
FLUSH;5043;5.043%
HIGH_CARD;6493;6.493%
TWO_PAIR;32138;32.138%
STRAIGHT;4640;4.64%
THREE_OF_A_KIND;7458;7.458%
STRAIGHT_FLUSH;42;0.042%
FOUR_OF_A_KIND;299;0.299%
FULL_HOUSE;4667;4.667%
